subject,relation,object
"Age-related hearing loss, Ear infection, Acoustic neuroma",common in,Pan-India
"Age-related hearing loss, Ear infection, Acoustic neuroma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Balance problems,indicates,"Vertigo, Inner ear infection, Multiple sclerosis"
"Vertigo, Inner ear infection, Multiple sclerosis",has severity,Moderate
"Vertigo, Inner ear infection, Multiple sclerosis",lasts for,7 days
"Vertigo, Inner ear infection, Multiple sclerosis",common in,Pan-India
"Vertigo, Inner ear infection, Multiple sclerosis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Frequent falls,indicates,"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis"
"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",has severity,Severe
"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",lasts for,30 days
"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",common in,Pan-India
"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive urination at night,indicates,"Diabetes, Prostate enlargement, Heart failure"
"Diabetes, Prostate enlargement, Heart failure",has severity,Moderate
"Diabetes, Prostate enlargement, Heart failure",lasts for,21 days
"Diabetes, Prostate enlargement, Heart failure",common in,Pan-India
"Diabetes, Prostate enlargement, Heart failure",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Erectile dysfunction,indicates,"Diabetes, Hypertension, Depression"
"Diabetes, Hypertension, Depression",has severity,Moderate
"Diabetes, Hypertension, Depression",lasts for,60 days
"Diabetes, Hypertension, Depression",common in,Pan-India
"Diabetes, Hypertension, Depression",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Painful intercourse,indicates,"Vaginitis, Endometriosis, Pelvic inflammatory disease"
"Vaginitis, Endometriosis, Pelvic inflammatory disease",has severity,Moderate
"Vaginitis, Endometriosis, Pelvic inflammatory disease",lasts for,21 days
"Vaginitis, Endometriosis, Pelvic inflammatory disease",common in,Pan-India
"Vaginitis, Endometriosis, Pelvic inflammatory disease",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Vaginal discharge,indicates,"Vaginitis, Sexually transmitted infection, Cervical cancer"
"Vaginitis, Sexually transmitted infection, Cervical cancer",has severity,Moderate
"Vaginitis, Sexually transmitted infection, Cervical cancer",lasts for,7 days
"Vaginitis, Sexually transmitted infection, Cervical cancer",common in,Pan-India
"Vaginitis, Sexually transmitted infection, Cervical cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Abnormal vaginal bleeding,indicates,"Uterine fibroids, Endometriosis, Cervical cancer"
"Uterine fibroids, Endometriosis, Cervical cancer",has severity,Severe
"Uterine fibroids, Endometriosis, Cervical cancer",lasts for,7 days
"Uterine fibroids, Endometriosis, Cervical cancer",common in,Pan-India
"Uterine fibroids, Endometriosis, Cervical cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Breast lump,indicates,"Fibrocystic disease, Breast cancer, Mastitis"
"Fibrocystic disease, Breast cancer, Mastitis",has severity,Severe
"Fibrocystic disease, Breast cancer, Mastitis",lasts for,14 days
"Fibrocystic disease, Breast cancer, Mastitis",common in,Pan-India
"Fibrocystic disease, Breast cancer, Mastitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Menstrual pain,indicates,"Endometriosis, Adenomyosis, Pelvic inflammatory disease"
"Endometriosis, Adenomyosis, Pelvic inflammatory disease",has severity,Moderate
"Endometriosis, Adenomyosis, Pelvic inflammatory disease",lasts for,5 days
"Endometriosis, Adenomyosis, Pelvic inflammatory disease",common in,Pan-India
"Endometriosis, Adenomyosis, Pelvic inflammatory disease",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Missed periods,indicates,"Pregnancy, Polycystic ovary syndrome, Stress"
"Pregnancy, Polycystic ovary syndrome, Stress",has severity,Moderate
"Pregnancy, Polycystic ovary syndrome, Stress",lasts for,30 days
"Pregnancy, Polycystic ovary syndrome, Stress",common in,Pan-India
"Pregnancy, Polycystic ovary syndrome, Stress",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Testicular pain,indicates,"Epididymitis, Testicular torsion, Orchitis"
"Epididymitis, Testicular torsion, Orchitis",has severity,Severe
"Epididymitis, Testicular torsion, Orchitis",lasts for,7 days
"Epididymitis, Testicular torsion, Orchitis",common in,Pan-India
"Epididymitis, Testicular torsion, Orchitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Scrotal swelling,indicates,"Hydrocele, Varicocele, Testicular cancer"
"Hydrocele, Varicocele, Testicular cancer",has severity,Moderate
"Hydrocele, Varicocele, Testicular cancer",lasts for,14 days
"Hydrocele, Varicocele, Testicular cancer",common in,Pan-India
"Hydrocele, Varicocele, Testicular cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Painful ejaculation,indicates,"Prostatitis, Seminal vesiculitis, Urethritis"
"Prostatitis, Seminal vesiculitis, Urethritis",has severity,Moderate
"Prostatitis, Seminal vesiculitis, Urethritis",lasts for,14 days
"Prostatitis, Seminal vesiculitis, Urethritis",common in,Pan-India
"Prostatitis, Seminal vesiculitis, Urethritis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Premature ejaculation,indicates,"Anxiety, Thyroid disorders, Prostatitis"
"Anxiety, Thyroid disorders, Prostatitis",has severity,Mild
"Anxiety, Thyroid disorders, Prostatitis",lasts for,60 days
"Anxiety, Thyroid disorders, Prostatitis",common in,Pan-India
"Anxiety, Thyroid disorders, Prostatitis",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Rectal pain,indicates,"Hemorrhoids, Anal fissure, Proctitis"
"Hemorrhoids, Anal fissure, Proctitis",has severity,Moderate
"Hemorrhoids, Anal fissure, Proctitis",lasts for,7 days
"Hemorrhoids, Anal fissure, Proctitis",common in,Pan-India
"Hemorrhoids, Anal fissure, Proctitis",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Inability to urinate,indicates,"Urinary retention, Prostate enlargement, Urethral stricture"
"Urinary retention, Prostate enlargement, Urethral stricture",has severity,Severe
"Urinary retention, Prostate enlargement, Urethral stricture",lasts for,3 days
"Urinary retention, Prostate enlargement, Urethral stricture",common in,Pan-India
"Urinary retention, Prostate enlargement, Urethral stricture",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Yellow skin,indicates,"Jaundice, Hepatitis, Gallstones"
"Jaundice, Hepatitis, Gallstones",has severity,Severe
"Jaundice, Hepatitis, Gallstones",lasts for,21 days
"Jaundice, Hepatitis, Gallstones",common in,Pan-India
"Jaundice, Hepatitis, Gallstones",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Pale skin,indicates,"Anemia, Shock, Vitamin deficiency"
"Anemia, Shock, Vitamin deficiency",has severity,Moderate
"Anemia, Shock, Vitamin deficiency",lasts for,14 days
"Anemia, Shock, Vitamin deficiency",common in,Pan-India
"Anemia, Shock, Vitamin deficiency",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Cyanosis,indicates,"Heart failure, Pulmonary embolism, COPD"
"Heart failure, Pulmonary embolism, COPD",has severity,Severe
"Heart failure, Pulmonary embolism, COPD",lasts for,3 days
"Heart failure, Pulmonary embolism, COPD",common in,North India
"Heart failure, Pulmonary embolism, COPD",available in language,"English, Hindi, Punjabi, Urdu"
Swollen face,indicates,"Kidney disease, Allergic reaction, Cushing's syndrome"
"Kidney disease, Allergic reaction, Cushing's syndrome",has severity,Moderate
"Kidney disease, Allergic reaction, Cushing's syndrome",lasts for,7 days
"Kidney disease, Allergic reaction, Cushing's syndrome",common in,Pan-India
"Kidney disease, Allergic reaction, Cushing's syndrome",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Puffy eyes,indicates,"Allergies, Kidney disease, Hypothyroidism"
"Allergies, Kidney disease, Hypothyroidism",has severity,Mild
"Allergies, Kidney disease, Hypothyroidism",lasts for,5 days
"Allergies, Kidney disease, Hypothyroidism",common in,Pan-India
"Allergies, Kidney disease, Hypothyroidism",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Brittle nails,indicates,"Iron deficiency, Thyroid disorders, Fungal infection"
"Iron deficiency, Thyroid disorders, Fungal infection",has severity,Mild
"Iron deficiency, Thyroid disorders, Fungal infection",lasts for,60 days
"Iron deficiency, Thyroid disorders, Fungal infection",common in,Pan-India
"Iron deficiency, Thyroid disorders, Fungal infection",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Nail discoloration,indicates,"Fungal infection, Psoriasis, Melanoma"
"Fungal infection, Psoriasis, Melanoma",has severity,Mild
"Fungal infection, Psoriasis, Melanoma",lasts for,60 days
"Fungal infection, Psoriasis, Melanoma",common in,Pan-India
"Fungal infection, Psoriasis, Melanoma",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Sunken eyes,indicates,"Dehydration, Malnutrition, Aging"
"Dehydration, Malnutrition, Aging",has severity,Moderate
"Dehydration, Malnutrition, Aging",lasts for,7 days
"Dehydration, Malnutrition, Aging",common in,Pan-India
"Dehydration, Malnutrition, Aging",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dark circles under eyes,indicates,"Allergies, Sleep deprivation, Anemia"
"Allergies, Sleep deprivation, Anemia",has severity,Mild
"Allergies, Sleep deprivation, Anemia",lasts for,14 days
"Allergies, Sleep deprivation, Anemia",common in,Pan-India
"Allergies, Sleep deprivation, Anemia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Swollen gums,indicates,"Gingivitis, Vitamin C deficiency, Leukemia"
"Gingivitis, Vitamin C deficiency, Leukemia",has severity,Mild
"Gingivitis, Vitamin C deficiency, Leukemia",lasts for,14 days
"Gingivitis, Vitamin C deficiency, Leukemia",common in,Pan-India
"Gingivitis, Vitamin C deficiency, Leukemia",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Bleeding gums,indicates,"Gingivitis, Vitamin K deficiency, Leukemia"
"Gingivitis, Vitamin K deficiency, Leukemia",has severity,Moderate
"Gingivitis, Vitamin K deficiency, Leukemia",lasts for,7 days
"Gingivitis, Vitamin K deficiency, Leukemia",common in,Pan-India
"Gingivitis, Vitamin K deficiency, Leukemia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Difficulty swallowing,indicates,"Esophageal stricture, Throat cancer, Achalasia"
"Esophageal stricture, Throat cancer, Achalasia",has severity,Moderate
"Esophageal stricture, Throat cancer, Achalasia",lasts for,14 days
"Esophageal stricture, Throat cancer, Achalasia",common in,Pan-India
"Esophageal stricture, Throat cancer, Achalasia",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Hoarse voice,indicates,"Laryngitis, Vocal cord nodules, Thyroid cancer"
"Laryngitis, Vocal cord nodules, Thyroid cancer",has severity,Mild
"Laryngitis, Vocal cord nodules, Thyroid cancer",lasts for,10 days
"Laryngitis, Vocal cord nodules, Thyroid cancer",common in,Pan-India
"Laryngitis, Vocal cord nodules, Thyroid cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Lump in throat,indicates,"Globus sensation, Thyroid nodule, Esophageal cancer"
"Globus sensation, Thyroid nodule, Esophageal cancer",has severity,Moderate
"Globus sensation, Thyroid nodule, Esophageal cancer",lasts for,14 days
"Globus sensation, Thyroid nodule, Esophageal cancer",common in,Pan-India
"Globus sensation, Thyroid nodule, Esophageal cancer",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Neck swelling,indicates,"Goiter, Lymphadenopathy, Thyroid cancer"
"Goiter, Lymphadenopathy, Thyroid cancer",has severity,Moderate
"Goiter, Lymphadenopathy, Thyroid cancer",lasts for,21 days
"Goiter, Lymphadenopathy, Thyroid cancer",common in,Pan-India
"Goiter, Lymphadenopathy, Thyroid cancer",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Hiccups,indicates,"Gastroesophageal reflux, Hiatal hernia, Pneumonia"
"Gastroesophageal reflux, Hiatal hernia, Pneumonia",has severity,Mild
"Gastroesophageal reflux, Hiatal hernia, Pneumonia",lasts for,2 days
"Gastroesophageal reflux, Hiatal hernia, Pneumonia",common in,Pan-India
"Gastroesophageal reflux, Hiatal hernia, Pneumonia",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Excessive belching,indicates,"Gastroesophageal reflux, Gastritis, Functional dyspepsia"
"Gastroesophageal reflux, Gastritis, Functional dyspepsia",has severity,Mild
"Gastroesophageal reflux, Gastritis, Functional dyspepsia",lasts for,7 days
"Gastroesophageal reflux, Gastritis, Functional dyspepsia",common in,Pan-India
"Gastroesophageal reflux, Gastritis, Functional dyspepsia",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive flatulence,indicates,"Irritable bowel syndrome, Lactose intolerance, Malabsorption"
"Irritable bowel syndrome, Lactose intolerance, Malabsorption",has severity,Mild
"Irritable bowel syndrome, Lactose intolerance, Malabsorption",lasts for,7 days
"Irritable bowel syndrome, Lactose intolerance, Malabsorption",common in,Pan-India
"Irritable bowel syndrome, Lactose intolerance, Malabsorption",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Rectal itching,indicates,"Hemorrhoids, Pinworms, Fungal infection"
"Hemorrhoids, Pinworms, Fungal infection",has severity,Mild
"Hemorrhoids, Pinworms, Fungal infection",lasts for,7 days
"Hemorrhoids, Pinworms, Fungal infection",common in,Pan-India
"Hemorrhoids, Pinworms, Fungal infection",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Hair thinning,indicates,"Iron deficiency, Hypothyroidism, Telogen effluvium"
"Iron deficiency, Hypothyroidism, Telogen effluvium",has severity,Mild
"Iron deficiency, Hypothyroidism, Telogen effluvium",lasts for,90 days
"Iron deficiency, Hypothyroidism, Telogen effluvium",common in,Pan-India
"Iron deficiency, Hypothyroidism, Telogen effluvium",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Facial hair in women,indicates,"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders"
"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",has severity,Moderate
"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",lasts for,90 days
"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",common in,Pan-India
"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Excessive sweating,indicates,"Hyperthyroidism, Anxiety, Infection"
"Hyperthyroidism, Anxiety, Infection",has severity,Mild
"Hyperthyroidism, Anxiety, Infection",lasts for,14 days
"Hyperthyroidism, Anxiety, Infection",common in,Pan-India
"Hyperthyroidism, Anxiety, Infection",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Night blindness,indicates,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts"
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",has severity,Moderate
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",lasts for,30 days
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",common in,Rural India
"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",available in language,"English, Hindi, Tamil, Bengali, Telugu"
Sensitivity to light,indicates,"Migraine, Iritis, Corneal abrasion"
"Migraine, Iritis, Corneal abrasion",has severity,Moderate
"Migraine, Iritis, Corneal abrasion",lasts for,7 days
"Migraine, Iritis, Corneal abrasion",common in,Pan-India
"Migraine, Iritis, Corneal abrasion",available in language,"English, Hindi, Tamil, Bengali, Marathi"
Dry eyes,indicates,"Sjögren's syndrome, Aging, Computer vision syndrome"
"Sjögren's syndrome, Aging, Computer vision syndrome",has severity,Mild
"Sjögren's syndrome, Aging, Computer vision syndrome",lasts for,30 days
"Sjögren's syndrome, Aging, Computer vision syndrome",common in,Pan-India
"Sjögren's syndrome, Aging, Computer vision syndrome",available in language,"English, Hindi, Tamil, Bengali, Telugu"
